1boy,"1個男人,1男"
blood_on_breasts,"乳房上有血"
blood_on_chest,"胸口有血"
blood_on_clothes,"衣服上有血跡"
blood_on_dress,"衣服上有血跡"
blood_on_face,"臉上有血"
blood_on_ground,"地上的血"
blood_on_hands,"手上有血"
blood_on_knife,"刀上有血"
blood_on_leg,"腿上有血"
blood_on_wall,"牆上的血"
blood_on_weapon,"武器上的血跡"
blood_splatter,"血濺"
blood_spray,"血液噴霧"
blood_stain,"血跡"
blood_trail,"血跡"
blood_writing,"血液書寫"
bloodborne,"血源性"
bloodhound_(apex_legends),"獵犬(頂級傳奇)"
bloodline,"血統"
bloodshot_eyes,"佈滿血絲的眼睛"
bloodstained:_ritual_of_the_night,"染血：夜晚的儀式"
bloody_marie_(skullgirls),"血腥瑪麗(骷髏女孩)"
bloody_nose,"鼻血"
bloody_wings,"血腥的翅膀"
bloody_wolf_(elden_ring),"血狼(eldenring)"
bloom,"綻放,盛開"
bloom2425,"綻放2425"
bloomers,"燈籠褲"
bloomers_around_one_leg,"一條腿周圍的燈籠褲"
bloomers_pull,"燈籠褲拉"
blooper_(mario),"吹噓(馬里奧)"
blossom_(ppg),"開花(ppg)"
blouse,"女式襯衫,罩衫"
blowhole,"氣孔"
blowing,"吹"
blowing_in_ear,"吹入耳中"
blowing_kiss,"飛吻"
blowing_smoke,"冒煙"
blsh,"臉紅"
blu-ray_cover,"藍光封面"
blue-eyes_white_dragon,"青眼白龍"
blue-framed_eyewear,"藍框眼鏡"
blue-senpai,"藍前輩"
blue-tinted_eyewear,"藍色眼鏡"
blue21,"藍色21"
blue_angel,"藍色天使"
blue_apron,"藍色圍裙"
blue_archive,"藍色檔案"
blue_armor,"藍色盔甲"
blue_ascot,"藍色阿斯科特"
blue_babydoll,"藍色娃娃裝"
blue_background,"藍色背景"
blue_bag,"藍包"
blue_bandana,"藍色頭巾"
blue_bandeau,"藍色抹胸"
blue_belt,"藍帶"
blue_bikini,"藍色比基尼"
blue_bird,"藍鳥"
blue_blood,"藍色血液"
blue_bodysuit,"藍色緊身連衣褲"
blue_border,"藍色邊框"
blue_bow,"藍色蝴蝶結"
blue_bowtie,"藍色領結"
blue_bra,"藍色文胸"
blue_buruma,"藍色布魯瑪"
blue_butterfly,"藍色蝴蝶"
blue_camisole,"藍色吊帶背心"
blue_cape,"藍色斗篷"
blue_capelet,"藍色披肩"
blue_cardigan,"藍色開衫"
blue_cat_(precure),"藍貓(預治療)"
blue_choker,"藍色項圈"
blue_cloak,"藍色斗篷"
blue_coat,"藍色外套"
blue_collar,"藍領"
blue_corset,"藍色緊身胸衣"
blue_delmo,"藍色德爾莫"
blue_dress,"藍色連衣裙,藍連衣裙"
blue_eyes,"藍色眼睛,藍眼,藍眼睛"
blue_eyeshadow,"藍色眼影"
blue_feathers,"藍色羽毛"
blue_fire,"藍火"
blue_flower,"藍花"
blue_footwear,"藍色鞋"
blue_fur,"藍色毛皮"
blue_gemstone,"藍色寶石"
blue_gk,"藍色gk"
blue_gloves,"藍色手套"
blue_hair,"藍髮,藍髮/水色發,藍色的頭髮"
blue_hairband,"藍色髮帶"
blue_hakama,"藍色袴"
blue_hawaii,"藍色夏威夷,藍色夏威夷（雞尾酒）"
blue_headband,"藍色頭帶"
blue_headwear,"藍色頭飾"
blue_hood,"藍色罩"
blue_hoodie,"藍色連帽衫"
blue_horns,"藍色喇叭"
blue_innertube,"藍色內胎"
blue_jacket,"藍色夾克"
blue_jeans,"牛仔褲"
blue_jumpsuit,"藍色連身衣"
blue_kimono,"藍色和服"
blue_legwear,"藍色腿裝,藍色褲襪"
blue_leotard,"藍色緊身衣"
blue_lips,"藍色的嘴唇"
blue_male_swimwear,"藍色男泳裝"
blue_male_underwear,"藍色男內褲"
blue_mary,"藍瑪麗"
blue_mittens,"藍色連指手套"
blue_moon,"藍月,藍月亮"
blue_nails,"藍色指甲"
blue_neckerchief,"藍色圍巾"
blue_necktie,"藍色領帶"
blue_neckwear,"藍色頸飾,藍色領帶"
blue_nipples,"藍色的乳頭"
blue_oak,"藍橡木"
blue_oath,"藍色誓言"
blue_oni,"藍鬼"
blue_outline,"藍色輪廓"
blue_overalls,"藍色工作服"
blue_pajamas,"藍色睡衣"
blue_panties,"藍色內褲"
blue_pants,"藍色褲子"
blue_pantyhose,"藍色連褲襪"
blue_poison_(arknights),"藍色毒藥(方舟)"
blue_poison_(shoal_beat)_(arknights),"藍色毒藥(shoalbeat)(arknights)"
blue_pubic_hair,"藍色陰毛"
blue_pupils,"藍色瞳孔"
blue_reflection,"藍色反射"
blue_ribbon,"藍絲帶"
blue_robe,"藍袍"
blue_rose,"藍玫瑰"
blue_rose_(tiger_&_bunny),"藍玫瑰(老虎和兔子)"
blue_rose_sword,"藍玫瑰劍"
blue_sailor_collar,"藍色水手領"
blue_santa_costume,"藍色聖誕老人服裝"
blue_sarong,"藍色紗籠"
blue_sash,"藍色腰帶"
blue_scarf,"藍色圍巾"
blue_sclera,"藍色鞏膜"
blue_screen_of_death,"藍色畫面宕機"
blue_scrunchie,"藍色髮圈"
blue_serafuku,"藍色serafuku"
blue_shawl,"藍色披肩"
blue_shirt,"藍色襯衫"
blue_shorts,"藍色短褲"
blue_skin,"藍色皮膚"
blue_skirt,"藍色裙子"
blue_sky,"藍天"
blue_sleeves,"藍色袖子"
blue_socks,"藍色襪子"
blue_sports_bra,"藍色運動文胸"
blue_stripes,"藍色條紋"
blue_suit,"藍色套裝"
blue_sweater,"藍色毛衣"
blue_sweater_vest,"藍色毛衣背心"
blue_tabard,"藍色戰袍"
blue_tail,"藍尾"
blue_tank_top,"藍色背心"
blue_theme,"藍色主題"
blue_thighhighs,"藍色長筒襪"
blue_tongue,"藍舌"
blue_tunic,"藍色束腰外衣"
blue_umbrella,"藍色雨傘"
blue_vert,"藍色垂直"
blue_vest,"藍色背心"
blue_whale,"藍鯨"
blue_whale_(kemono_friends),"藍鯨(kemono朋友)"
blue_wings,"藍色的翅膀"
blue_wristband,"藍色腕帶"
blueberry,"藍莓"
bluebird,"藍鳥"
bluefield,"藍地"
bluekalmia,"藍卡米亞"
bluekomadori,"藍駒通"
blueorca,"藍鯨"
blueprint,"藍圖"
bluez,"藍茲"
blunt_bangs,"齊劉海,鈍劉海"
blunt_ends,"鈍頭"
blunt_tresses,"鈍發"
blur_censor,"模糊審查器"
blurred,"模糊的"
blurry,"模糊的"
blurry_background,"模糊的背景"
blurry_foreground,"前景模糊,模糊的前景"
blush,"臉紅,臉紅的"
blush_stickers,"2d臉紅,腮紅貼,2D臉紅,表情貼紙"
blush_visible_through_hair,"透過頭髮可見腮紅"
blushing,"臉紅的"
blushyspicy,"臉紅"
bmw,"寶馬"
bnc_(bunshi),"bnc(文殊)"
boa_(brianoa),"蟒蛇(brianoa)"
boa_hancock,"蟒蛇漢考克"
boar,"公豬"
boar_boy,"野豬男孩"
boar_hood,"公豬罩"
boar_mask,"野豬面具"
board,"板"
board_eraser,"板擦"
board_game,"棋盤遊戲"
boat,"船"
boater_hat,"平頂帽,船帽"
bob-omb,"炸彈"
bob_(biyonbiyon),"鮑勃(biyonbiyon)"
bob_(you-u-kai),"鮑勃(you-u-kai)"
bob_cut,"鮑勃切,波波頭"
bobblehat,"泡泡帽"
bobby_pin,"髮夾"
bobby_socks,"襪口向下翻的少女短襪,美式短襪,鮑比襪子"
bobobo,"波波波"
bobokuboboku,"烤肉木"
boca,"博卡"
bococho,"博科喬"
bodice,"緊身胸衣"
bodskih,"博德斯基"
body_armor,"防彈衣"
body_blush,"身體腮紅"
body_bridge,"體橋"
body_freckles,"身體雀斑"
body_fur,"體毛"
body_hair,"體毛"
body_horror,"身體恐怖"
body_markings,"車身標記"
body_pillow,"身體枕頭"
body_suit,"緊身衣"
body_switch,"車身開關"
body_writing,"身上有字,正文"
bodycon,"緊身衣"
bodypaint,"人體彩繪"
bodystocking,"半透明材料緊身衣,連體褲襪"
bodysuit,"連體緊身衣,緊身連衣褲"
bodysuit_pull,"緊身衣拉"
bodysuit_under_clothes,"緊身衣褲,衣服下的緊身衣褲"
bois_de_justice,"大法官"
bojji,"博吉"
boke-chan,"博克醬"
bokeh,"散焦,背景散焦,散景"
boken_fantasy,"幻想"
bokken,"博肯"
boko_(girls_und_panzer),"博科(女孩和裝甲)"
boko_(maniacpurple),"博科(瘋子紫色)"
bokota_(bokobokota),"博科塔(bokobokota)"
boku_no_hero_academia,"bokunohero學術界"
boku_no_kanojo_sensei,"bokunokanojo老師"
bokujou_monogatari,"木條物語"
bokukawauso,"白川牛草"
bokuman,"博庫曼"
bokurano,"薄倉野"
bokusatsu_tenshi_dokuro-chan,"bokusatsu天師dokuro-chan"
bokuto_koutarou,"北斗光太郎"
bol_(liliymimi),"波爾(liliymimi)"
bola_(weapon),"波拉(武器)"
bolo_tie,"繩系領帶,博洛領帶,細繩裝飾性領帶"
bolt,"螺栓"
bolt_action,"螺栓動作"
bolter,"爆彈槍"
bolverk,"博爾沃克"
bolze,"博爾茲"
bomb,"炸彈"
bomber,"轟炸機"
bomber_grape,"轟炸機葡萄"
bomber_hat,"飛行員帽"
bomber_jacket,"飛行員夾克"
bombergirl,"轟炸機女郎"
bomberman,"炸彈人"
bomhat,"博哈特"
bomi,"波密"
bon_(rump),"好(臀部)"
bond_(spy_x_family),"債券(間諜x家庭)"
bondage,"捆綁/奴役,束縛"
bondage_mittens,"束縛連指手套"
bondage_outfit,"束縛服,束縛裝"
bondrewd,"債券"
bondson,"邦森"
bone,"骨"
bone_hair_ornament,"骨髮飾"
bone_necklace,"骨項鍊"
bone_print,"骨印"
boned_meat,"帶骨肉,圓柱形帶骨肉"
bonfire,"篝火"
bongo_cat,"邦戈貓"
bonkiru,"邦基魯"
bonnet,"舊式女帽,發動機罩"
bonnie_(pokemon),"邦妮(寵物小精靈)"
bonnie_(rsg),"邦妮(rsg)"
bonsai,"盆景"
bonyari_high_school_uniform,"bonyari高中制服"
boo_(mario),"噓(馬里奧)"
boob_grab,"揉胸"
boobplate,"胸板"
boobs,"胸部"
book,"書"
book_focus,"書籍重點"
book_holster,"書皮套"
book_hug,"書抱"
book_of_the_azure_sky,"碧空之書"
book_on_head,"頭上的書"
book_on_lap,"膝上書"
book_stack,"書架"
bookbag,"書包"
bookmark,"書籤"
bookshelf,"書架"
bookstore,"書店"
boom_barrier,"動臂屏障"
boombox,"音箱"
boomerang,"迴旋鏢"
booota,"噓"
boot,"長靴"
boot_removed,"啟動已移除"
boota_(ttgl),"布塔(ttgl)"
booth_seating,"展位座位"
bootjob,"引導作業"
boots,"靴子,長靴"
boots_removed,"脫下的靴子,靴子已移除"
booty_shorts,"熱褲"
border,"假邊框"
border_break,"邊境突破"
borderlands_(series),"無主之地(系列)"
borderlands_2,"無主之地2"
borderless_panels,"無邊框面板,無邊框漫畫"
bored,"無聊的"
boris_(noborhys),"鮑里斯(noborhys)"
born-to-die,"生而死"
boro,"博羅"
boros_(ouro_kronii),"波羅斯(ourokronii)"
borrowed_character,"借用字元"
borrowed_design,"借用設計"
borrowed_garments,"借來的衣服"
borrowed_hairstyle,"借來的髮型"
bort,"波特"
boruhis,"博魯希斯"
borushichi,"博路市"
boruto:_naruto_next_generations,"火影忍者：火影忍者下一代"
boruto:_naruto_the_movie,"boruto：火影忍者電影"
boryeon_(last_origin),"boryeon(最後的起源)"
bosshi,"老闆"
boston_terrier,"波士頓梗犬"
botan_(clannad),"植物學(cannad)"
bottle,"瓶子"
bottle_cap,"瓶蓋"
bottle_miku,"瓶miku"
bottle_to_cheek,"瓶子到臉頰"
bottom_less,"下著較少"
bottomless,"下著較少,無底"
bottoms1237,"底部1237"
bou,"布"
boudica_(fate),"布迪卡(fate)"
bouen,"布恩"
bougu,"布穀"
boukun_habanero,"布昆哈瓦那人"
boulder,"巨石"
boulle_work,"boulle鑲嵌工藝,Boulle鑲嵌工藝"
bouncing,"彈跳"
bouncing_ass,"彈跳的屁股"
bouncing_breasts,"乳搖,彈跳的乳房"
bouncing_hair,"彈跳的頭髮"
bouncing_pecs,"彈跳胸肌"
bouncing_penis,"彈跳的陰莖"
bouncing_testicles,"彈跳的睪丸"
bound,"繫結"
bound_ankles,"綁腳踝"
bound_arms,"手臂捆綁,繫結武器"
bound_hands,"手腕捆綁"
bound_knees,"束縛膝蓋"
bound_legs,"綁腿"
bound_thighs,"綁大腿"
bound_together,"繫結在一起"
bound_torso,"繫結軀幹"
bound_wrists,"手腕捆綁,繫結手腕"
bounsweet,"甜蜜的"
bouquet,"花束"
boushi-ya,"佈施雅"
bousouzoku,"盜賊族"
boutonniere,"胸花"
bow,"蝴蝶結,弓"
bow-shaped_hair,"弓形頭髮"
bow_(bhp),"弓(bhp)"
bow_(music),"弓(音樂)"
bow_(weapon),"弓(武器)"
bow_bikini,"帶蝴蝶結的比基尼,蝴蝶結比基尼"
bow_bra,"帶蝴蝶結的胸罩,蝴蝶結文胸"
bow_choker,"蝴蝶結項鍊"
bow_earrings,"蝴蝶結耳環"
bow_hairband,"蝴蝶結髮帶"
bow_legwear,"帶蝴蝶結的褲襪,蝴蝶結褲襪"
bow_panties,"帶蝴蝶結的內褲,蝴蝶結內褲"
bow_skirt,"蝴蝶結裙"
bow_swimsuit,"蝴蝶結泳衣"
bow_thighhighs,"帶蝴蝶結的褲襪"
bow_tie,"蝴蝶領結"
bowalia,"鮑利亞"
bowgun,"弓箭"
bowieknife,"弓刀"
bowing,"鞠躬"
bowl,"碗"
bowl_cut,"蘑菇頭,碗切,鍋蓋頭"
bowl_hat,"碗帽"
bowler_hat,"圓頂硬禮帽,圓頂禮帽"
bowling,"保齡球"
bowling_alley,"保齡球館"
bowling_ball,"保齡球"
bows,"蝴蝶結"
bowser,"鮑澤"
bowser_jr.,"小鮑澤"
bowsette,"蝴蝶結"
bowtie,"領結,蝴蝶領結"
bowtie_removed,"領結已移除"
box,"盒子"
box_(hotpppink),"盒子(hotpppink)"
box_art,"盒子藝術"
box_of_chocolates,"一盒巧克力"
box_tie,"盒子領帶"
boxcutter,"開箱機"
boxer_briefs,"平角內褲"
boxers,"拳擊手"
boxing,"拳擊"
boxing_gloves,"拳擊手套"
boxing_ring,"拳擊臺"
boxing_shorts,"拳擊短褲"
boy's_love,"搞基"
boy_and_girl_sandwich,"男孩女孩三明治"
boy_love,"搞基"
boy_on_top,"男孩在上面"
boy_sandwich,"男孩三明治"
boyaking,"男孩"
boyano,"博亞諾"
boys_anti_tank_rifle,"男孩反坦克步槍"
boys_love,"搞基"
boyshort_panties,"平角內褲"
bra,"胸罩,文胸"
bra-ban!,"胸罩！"
bra_(dragon_ball),"文胸(七龍珠)"
bra_down,"拉下的胸罩"
bra_lift,"掀上去的胸罩,文胸提升機"
bra_off,"摘下的胸罩"
bra_on_head,"頭戴胸罩"
bra_padding,"胸墊"
bra_peek,"微微露出胸罩,胸罩偷看"
bra_pull,"拉下的胸罩,文胸拉"
bra_removed,"摘下的胸罩,胸罩已移除"
bra_slip,"文胸滑"
bra_strap,"內衣肩帶,文胸帶"
bra_stuffing,"胸墊"
bra_visible_through_clothes,"透過衣服可以看到胸罩"
bracelet,"手鐲,手鍊"
bracelet_girls,"手鍊女孩"
bracelets,"手鐲"
bracer,"護腕"
bracers,"護腕"
braces,"牙套"
bracketing,"包圍曝光"
bradamante_(fate),"布拉達曼特(fate)"
bradamante_(first_ascension)_(fate),"布拉達曼特(第一次提升)(fate)"
bradamante_(third_ascension)_(fate),"布拉達曼特(第三次提升)(fate)"
braid,"有辮子的,編織"
braided_bangs,"把前額的頭髮綁成辮子,辮子劉海,編織劉海"
braided_beard,"編織鬍鬚"
braided_bun,"辮子髻,編織髮髻"
braided_hair,"辮子"
braided_ponytail,"編織馬尾辮"
braiding_hair,"編織頭髮"
braids,"辮子"
brain,"大腦"
brain_freeze,"大腦凍結"
brainwashing,"思想操控"
braixen,"布雷克森"
bralines,"佈雷林"
branch,"分公司"
branch_(blackrabbits),"分支(黑兔)"
brand-new_friend_(umamusume),"全新的朋友(umamusume)"
brand_name_imitation,"名牌仿"
brand_new_animal,"全新動物"
branded,"品牌"
brandkojo,"品牌科喬"
bras_d'honneur,"榮譽胸罩"
brass_knuckles,"指節銅套"
brass_rubbing,"黃銅拓片"
brave_girl_ravens,"勇敢的女孩烏鴉"
brave_witches,"勇敢的女巫"
bravely_default:_flying_fairy,"勇敢預設：飛仙"
bravely_default_(series),"勇敢地預設(系列)"
bravely_second:_end_layer,"勇敢的第二個：結束層"
braveman,"勇敢者"
braviary,"畜舍"
brazil,"巴西"
brazilian_flag,"巴西國旗"
bread,"麵包"
bread_bun,"麵包,麵包包子"
bread_eating_race,"吃麵包比賽,吃麵包比賽（咬住麵包跑到終點）"
bread_slice,"麵包片"
breakdance,"霹靂舞"
breakfast,"早餐"
breaking,"打破"
breaking_bad,"壞壞了"
breast,"胸部"
breast_awe,"乳房敬畏,著迷於乳房"
breast_biting,"咬胸"
breast_bondage,"乳房綁縛"
breast_conscious,"對胸部在意,乳房意識"
breast_contest,"乳房比賽"
breast_cover,"遮著乳房"
breast_covering,"遮著乳房"
breast_curtain,"胸簾,乳簾"
breast_curtain_lift,"胸簾升降機"
breast_curtains,"胸簾"
breast_cutout,"胸部鏤空"
breast_envy,"乳房羨慕,胸圍歧視"
breast_expansion,"乳房擴張,豐胸"
breast_feeding,"餵奶（小）,哺乳"
breast_focus,"乳房焦點"
breast_fondle,"乳房撫摸"
breast_grab,"揉胸,乳房抓鬥"
breast_hold,"託著胸部,抱著胸部,抱胸"
breast_lift,"託著胸部,隆胸"
breast_milk,"母乳"
breast_mousepad,"乳房滑鼠墊"
breast_pad,"胸墊"
breast_padding,"胸墊"
breast_pads,"胸墊"
breast_pillow,"胸枕,乳房枕頭"
breast_plate,"胸甲"
breast_pocket,"胸袋"
breast_poke,"戳胸,乳房戳"
breast_press,"擠壓胸部,乳房壓力機"
breast_pump,"吸奶器"
breast_rest,"擱著胸部,乳房休息"
breast_slap,"拍胸"
breast_slip,"胸滑,胸部走光"
breast_smother,"把頭塞入胸,乳房窒息"
breast_squeeze,"從兩側擠胸,擠奶"
breast_strap,"胸帶"
breast_stuffing,"胸墊"
breast_suck,"吸乳（中）"
breast_sucking,"吸乳（中）"
breast_sucking_through_clothes,"透過衣服吸吮乳房"
breast_suppress,"手放在胸上方,手放在乳房上方,乳房抑制"
breast_tattoo,"乳房紋身"
breast_to_breast,"胸部貼著胸部"
breast_zipper,"胸前拉鍊"
breastfeeding,"母乳餵養,哺乳"
breastless_bra,"高露出度胸罩"
breastless_clothes,"無胸衣服,露胸的衣服"
breastplate,"胸甲"
breasts,"胸部,乳房"
breasts_against_glass,"胸壓玻璃"
breasts_apart,"乳房分開,向兩側攤開的乳房"
breasts_day,"乳房日"
breasts_grab,"揉胸"
breasts_on_back,"背部的乳房"
breasts_on_glass,"胸壓玻璃,玻璃上的乳房"
breasts_on_head,"壓在頭上的乳房"
breasts_on_table,"桌子上的乳房"
breasts_on_tray,"托盤上的乳房"
breasts_out,"乳房出來,胸部露出"
breasts_squeeze,"從兩側擠胸"
breath,"呼吸"
breath_of_fire,"火的氣息"
breath_of_fire_i,"火之氣息i"
breath_of_fire_ii,"火焰之呼吸ii"
breath_of_fire_iii,"火之呼吸iii"
breath_of_fire_iv,"火之氣息iv"
breath_of_fire_v,"火之呼吸v"
breathing,"呼吸"
breathing_fire,"噴火"
breathing_on_hands,"用手呼吸"
brekkist,"休息"
breloom,"布魯姆"
bremerton_(azur_lane),"布雷默頓(碧藍航線)"
bremerton_(day-off_date)_(azur_lane),"布雷默頓(休息日)(碧藍航線)"
bremerton_(kung_fu_cruiser)_(azur_lane),"布雷默頓(功夫巡洋艦)(碧藍航線)"
bremerton_(scorching-hot_training)_(azur_lane),"布雷默頓(酷熱訓練)(碧藍航線)"
bren_lmg,"布倫lmg"
brendan_(pokemon),"布倫丹(口袋妖怪)"
brenizer,"合成淺景深"
brera_sterne,"布雷拉斯特恩"
briar_rose_(sinoalice),"野薔薇(sinoalice)"
brick,"磚"
brick_floor,"磚地板"
brick_road,"磚路"
brick_wall,"磚牆"
bridal_carry,"公主抱"
bridal_garter,"新娘吊襪帶"
bridal_gauntlets,"新娘手套"
bridal_legwear,"新娘褲襪"
bridal_lingerie,"新娘內衣"
bridal_veil,"新娘面紗"
bride,"新娘"
bride_(fire_emblem),"新娘(火徽)"
bridge,"橋"
bridgeless_bra,"無橋文胸"
bridget_(guilty_gear),"布里奇特(罪惡裝備)"
bridle,"韁繩"
brief_(psg),"簡短(psg)"
briefcase,"公文包"
briefs,"三角褲"
bright_pupils,"明亮的瞳孔"
brigid_(fire_emblem),"brigid(火徽)"
brigitte_(overwatch),"布麗吉特(守望先鋒)"
brionne,"布里奧妮"
briska,"布里斯卡"
british,"英國"
broach,"胸針"
broad_shoulders,"寬闊的肩膀"
broccoli,"西蘭花"
brock_(pokemon),"布魯克(口袋妖怪)"
brodie_helmet,"布羅迪頭盔"
broken,"壞了"
broken_arm,"斷臂"
broken_armor,"破甲"
broken_bottle,"破瓶"
broken_chain,"斷鏈"
broken_condom,"安全套破損"
broken_cup,"破杯子"
broken_egg,"破雞蛋,破碎的蛋"
broken_eyewear,"眼鏡壞了"
broken_glass,"碎玻璃"
broken_ground,"破碎的地面"
broken_halo,"破碎的光環"
broken_heart,"心碎"
broken_horn,"斷角"
broken_mask,"破面具"
broken_mirror,"破鏡子"
broken_moon,"殘月"
broken_plate,"破板"
broken_sword,"斷劍"
broken_umbrella,"破傘"
broken_wall,"破牆"
broken_weapon,"破損的武器"
broken_window,"破窗"
broly_(dragon_ball_super),"布羅利(龍珠超)"
broly_(dragon_ball_z),"布羅利(龍珠z)"
bronya_zaychik,"布羅尼亞zaychik"
bronya_zaychik_(herrscher_of_reason),"bronyazaychik(理性的先驅者)"
bronya_zaychik_(wolf's_dawn),"bronyazaychik(狼的黎明)"
bronzong,"青銅器"
brooch,"胸針"
brook,"布魯克"
brooke_(mathias_leth),"布魯克(馬蒂亞斯萊斯)"
broom,"掃帚"
broom_riding,"騎掃帚"
broom_surfing,"掃帚衝浪"
brother_and_sister,"姐弟/兄妹,兄弟姐妹"
brothers,"兄弟"
brown-framed_eyewear,"棕框眼鏡"
brown-tinted_eyewear,"棕色眼鏡"
brown_apron,"棕色圍裙"
brown_ascot,"棕色阿斯科特"
brown_background,"棕色背景"
brown_bag,"棕色包"
brown_bear_(kemono_friends),"棕熊(kemono朋友)"
brown_belt,"棕色腰帶"
brown_bikini,"棕色比基尼"
brown_bodysuit,"棕色緊身連衣褲"
brown_border,"棕色邊框"
brown_bow,"棕色蝴蝶結"
brown_bowtie,"棕色領結"
brown_bra,"棕色胸罩"
brown_camisole,"棕色吊帶背心"
brown_cape,"棕色斗篷"
brown_capelet,"棕色披肩"
brown_cardigan,"棕色開衫"
brown_cat,"棕色貓"
brown_choker,"棕色項圈"
brown_cloak,"棕色斗篷"
brown_coat,"棕色外套"
brown_collar,"棕色領"
brown_corset,"棕色緊身胸衣"
brown_dress,"棕色連衣裙"
brown_eyes,"棕色眼睛,棕眼,棕色的眼睛"
brown_feathers,"棕色羽毛"
brown_flower,"棕色花"
brown_footwear,"棕色鞋類"
brown_fur,"棕色皮草"
brown_gloves,"棕色手套"
brown_hair,"棕發,茶發,棕色頭髮"
brown_hairband,"棕色髮帶"
brown_hakama,"棕色袴"
brown_headwear,"棕色頭飾"
brown_hoodie,"棕色連帽衫"
brown_horns,"棕色角"
brown_jacket,"棕色夾克"
brown_kimono,"棕色和服"
brown_legwear,"棕色腿裝,棕色褲襪"
brown_leotard,"棕色緊身衣"
brown_lips,"棕色的嘴唇"
brown_male_underwear,"棕色男式內衣"
brown_mittens,"棕色連指手套"
brown_nails,"棕色指甲"
brown_neckerchief,"棕色圍巾"
brown_necktie,"棕色領帶"
brown_neckwear,"棕色頸飾,棕色領帶"
brown_overalls,"棕色工作服"
brown_panties,"棕色內褲"
brown_pants,"棕色褲子"
brown_pantyhose,"棕色連褲襪"
brown_pubic_hair,"棕色陰毛"
brown_ribbon,"棕色絲帶"
brown_robe,"棕色長袍"
brown_rose,"棕玫瑰,棕色玫瑰"
brown_sailor_collar,"棕色水手領"
brown_sash,"棕色腰帶"
brown_scarf,"棕色圍巾"
brown_sclera,"褐色鞏膜"
brown_scrunchie,"棕色髮圈"
brown_serafuku,"棕色serafuku"
brown_shawl,"棕色披肩"
brown_shirt,"棕色襯衫"
brown_shorts,"棕色短褲"
brown_skirt,"棕色裙子"
brown_sky,"棕色的天空"
brown_sleeves,"棕色袖子"
brown_socks,"棕色襪子"
brown_suit,"棕色西裝"
brown_sweater,"棕色毛衣"
brown_sweater_vest,"棕色毛衣背心"
brown_tail,"棕色尾巴"
brown_tank_top,"棕色背心"
brown_theme,"棕色主題"
brown_thighhighs,"棕色長筒襪"
brown_thoroughbred_(kemono_friends),"棕色純種馬(kemono朋友)"
brown_vest,"棕色背心"
brown_wings,"棕色翅膀"
browning_m2,"褐變m2"
bruce_lee's_jumpsuit,"李小龍的連身衣"
bruce_wayne,"布魯斯·韋恩"
bruise,"挫傷,瘀傷"
bruise_on_face,"臉上有瘀傷"
bruised_eye,"眼睛受傷,瘀傷的眼睛"
brunette,"茶發"
bruno_(pokemon),"布魯諾(寵物小精靈)"
bruno_buccellati,"布魯諾·布契拉蒂"
brush,"刷子"
brush_(medium),"刷子(中)"
brush_stroke,"筆觸"
brushing,"刷牙"
brushing_another's_hair,"給別人梳頭"
brushing_hair,"梳頭"
brushing_own_hair,"自己梳頭"
brushing_teeth,"刷牙"
brynhildr_(fate),"布倫希爾德(fate)"
btmr_game,"btmr遊戲"
btraphen,"苯丙氨酸"
bubba_(watson_amelia),"布巴(沃森阿米莉亞)"
bubble,"氣泡"
bubble_background,"氣泡背景"
bubble_bath,"泡泡浴"
bubble_blowing,"吹泡泡"
bubble_pipe,"氣泡管"
bubble_skirt,"泡泡裙"
bubble_tea,"珍珠奶茶"
bubble_tea_challenge,"不用手喝珍珠奶茶挑戰,泡泡茶挑戰"
bubbles_(ppg),"氣泡(ppg)"
bubukka,"布布卡"
bubuzuke,"布布祖克"
bucchake_(asami),"bucchake(麻美)"
buchi_maru,"步智丸"
buchikaki,"武奇卡基"
buck_teeth,"齙牙"
bucket,"桶"
bucket_hat,"有帽簷的棉質半圓帽,漁夫帽"
bucket_of_water,"一桶水"
bucket_on_head,"頭上的水桶"
buckle,"扣"
buckler,"釦環"
bud,"芽"
bud_(korovsme),"芽(korovsme)"
buddha,"佛"
buddhism,"佛教"
budew,"布杜"
budget_sarashi,"繃帶裹胸,預算sarashi"
bug,"錯誤"
bug_(artist),"錯誤(藝術家)"
bug_bite,"蟲咬"
bugles,"號角"
bugsy_(pokemon),"越野車(寵物小精靈)"
build_driver,"構建驅動程式"
building,"建築"
buildings,"建築物"
buizel,"比澤爾"
bukkake,"顏射"
bukkuri,"布庫裡"
bukurote,"袋手"
bulbasaur,"球莖龍"
bulbonne,"布林博訥"
bulga,"布林加"
bulge,"凸起"
bulge_press,"凸壓機"
bulge_to_ass,"膨脹到屁股"
bulges_touching,"凸起感人"
bulging_cheeks,"鼓著腮幫"
bulging_eyes,"凸出的眼睛"
bull,"公牛"
bullet,"子彈"
bullet_(blazblue),"子彈(blazblue)"
bullet_bill,"子彈法案"
bullet_hole,"彈孔"
bullet_necklace,"子彈項鍊"
bulleta,"公告"
bulletin_board,"公告板"
bulletproof_vest,"防彈背心"
bullpup,"鬥牛犬"
bullying,"欺凌"
bulma,"布林瑪"
bum_huggers,"女式燈籠褲"
bumblebee_(transformers),"大黃蜂(變形金剛)"
bumping,"顛簸"
bun_cover,"套在糰子頭上的織物,包子蓋"
bun_huggers,"女式燈籠褲"
bunbun,"髮髻"
bunbunmaru,"文文丸"
